id,age,balance,housing,loan,campaign,Cluster
1,58,2143.0,1,0,1,0
2,44,29.0,1,0,1,0
3,33,2.0,1,1,1,0
4,47,1506.0,1,0,1,0
5,33,1.0,0,0,1,1
6,35,231.0,1,0,1,0
7,28,447.0,1,1,1,0
8,42,2.0,1,0,1,0
9,58,121.0,1,0,1,0
10,43,593.0,1,0,1,0
11,41,270.0,1,0,1,0
12,29,390.0,1,0,1,0
13,53,6.0,1,0,1,0
14,58,71.0,1,0,1,0
15,57,162.0,1,0,1,0
16,51,229.0,1,0,1,0
17,45,13.0,1,0,1,0
18,57,52.0,1,0,1,0
19,60,60.0,1,0,1,0
20,33,0.0,1,0,1,0
21,28,723.0,1,1,1,0
22,56,779.0,1,0,1,0
23,32,23.0,1,1,1,0
24,25,50.0,1,0,1,0
25,40,0.0,1,1,1,0
26,44,-372.0,1,0,1,0
27,39,255.0,1,0,1,0
28,52,113.0,1,1,1,0
29,46,-246.0,1,0,2,0
30,36,265.0,1,1,1,0
31,57,839.0,0,1,1,1
32,49,378.0,1,0,1,0
33,60,39.0,1,1,1,0
34,59,0.0,1,0,1,0
35,51,10635.0,1,0,1,0
36,57,63.0,1,0,1,0
37,25,-7.0,1,0,1,0
38,53,-3.0,0,0,1,1
39,36,506.0,1,0,1,0
40,37,0.0,1,0,1,0
41,44,2586.0,1,0,1,0
42,50,49.0,1,0,2,0
43,60,104.0,1,0,1,0
44,54,529.0,1,0,1,0
45,58,96.0,1,0,1,0
46,36,-171.0,1,0,1,0
47,58,-364.0,1,0,1,0
48,44,0.0,1,0,2,0
49,55,0.0,0,0,1,1
50,29,0.0,1,0,1,0
51,54,1291.0,1,0,1,0
52,48,-244.0,1,0,1,0
53,32,0.0,1,0,1,0
54,42,-76.0,1,0,1,0
55,24,-103.0,1,1,1,0
56,38,243.0,0,1,1,1
57,38,424.0,1,0,1,0
58,47,306.0,1,0,1,0
59,40,24.0,1,0,1,0
60,46,179.0,1,0,1,0
61,32,0.0,1,0,1,0
62,53,989.0,1,0,1,0
63,57,249.0,1,0,1,0
64,33,790.0,1,0,1,0
65,49,154.0,1,0,1,0
66,51,6530.0,1,0,1,0
67,60,100.0,0,0,1,1
68,59,59.0,1,0,1,0
69,55,1205.0,1,0,2,0
70,35,12223.0,1,1,1,0
71,57,5935.0,1,1,1,0
72,31,25.0,1,1,1,0
73,54,282.0,1,1,1,0
74,55,23.0,1,0,1,0
75,43,1937.0,1,0,1,0
76,53,384.0,1,0,1,0
77,44,582.0,0,1,1,1
78,55,91.0,0,0,1,1
79,49,0.0,1,1,1,0
80,55,1.0,1,0,1,0
81,45,206.0,1,0,1,0
82,47,164.0,0,0,1,1
83,42,690.0,1,0,1,0
84,59,2343.0,1,0,1,0
85,46,137.0,1,1,1,0
86,51,173.0,1,0,2,0
87,56,45.0,0,0,1,1
88,41,1270.0,1,0,1,0
89,46,16.0,1,1,2,0
90,57,486.0,1,0,2,0
91,42,50.0,0,0,1,1
92,30,152.0,1,1,2,0
93,60,290.0,1,0,1,0
94,60,54.0,1,0,1,0
95,57,-37.0,0,0,1,1
96,36,101.0,1,1,1,0
97,55,383.0,0,0,1,1
98,60,81.0,1,0,1,0
99,39,0.0,1,0,1,0
100,46,229.0,1,0,1,0
101,44,-674.0,1,0,1,0
102,53,90.0,0,0,1,1
103,52,128.0,1,0,1,0
104,59,179.0,1,0,3,0
105,27,0.0,1,0,1,0
106,44,54.0,1,0,1,0
107,47,151.0,1,0,1,0
108,34,61.0,0,1,1,1
109,59,30.0,1,0,1,0
