age,balance,housing,loan,campaign
58,2143,yes,no,1
44,29,yes,no,1
33,2,yes,yes,1
47,1506,yes,no,1
33,1,no,no,1
35,231,yes,no,1
28,447,yes,yes,1
42,2,yes,no,1
58,121,yes,no,1
43,593,yes,no,1
41,270,yes,no,1
29,390,yes,no,1
53,6,yes,no,1
58,71,yes,no,1
57,162,yes,no,1
51,229,yes,no,1
45,13,yes,no,1
57,52,yes,no,1
60,60,yes,no,1
33,0,yes,no,1
28,723,yes,yes,1
56,779,yes,no,1
32,23,yes,yes,1
25,50,yes,no,1
40,0,yes,yes,1
44,-372,yes,no,1
39,255,yes,no,1
52,113,yes,yes,1
46,-246,yes,no,2
36,265,yes,yes,1
57,839,no,yes,1
49,378,yes,no,1
60,39,yes,yes,1
59,0,yes,no,1
51,10635,yes,no,1
57,63,yes,no,1
25,-7,yes,no,1
53,-3,no,no,1
36,506,yes,no,1
37,0,yes,no,1
44,2586,yes,no,1
50,49,yes,no,2
60,104,yes,no,1
54,529,yes,no,1
58,96,yes,no,1
36,-171,yes,no,1
58,-364,yes,no,1
44,0,yes,no,2
55,0,no,no,1
29,0,yes,no,1
54,1291,yes,no,1
48,-244,yes,no,1
32,0,yes,no,1
42,-76,yes,no,1
24,-103,yes,yes,1
38,243,no,yes,1
38,424,yes,no,1
47,306,yes,no,1
40,24,yes,no,1
46,179,yes,no,1
32,0,yes,no,1
53,989,yes,no,1
57,249,yes,no,1
33,790,yes,no,1
49,154,yes,no,1
51,6530,yes,no,1
60,100,no,no,1
59,59,yes,no,1
55,1205,yes,no,2
35,12223,yes,yes,1
57,5935,yes,yes,1
31,25,yes,yes,1
54,282,yes,yes,1
55,23,yes,no,1
43,1937,yes,no,1
53,384,yes,no,1
44,582,no,yes,1
55,91,no,no,1
49,0,yes,yes,1
55,1,yes,no,1
45,206,yes,no,1
47,164,no,no,1
42,690,yes,no,1
59,2343,yes,no,1
46,137,yes,yes,1
51,173,yes,no,2
56,45,no,no,1
41,1270,yes,no,1
46,16,yes,yes,2
57,486,yes,no,2
42,50,no,no,1
30,152,yes,yes,2
60,290,yes,no,1
60,54,yes,no,1
57,-37,no,no,1
36,101,yes,yes,1
55,383,no,no,1
60,81,yes,no,1
39,0,yes,no,1
46,229,yes,no,1
44,-674,yes,no,1
53,90,no,no,1
52,128,yes,no,1
59,179,yes,no,3
27,0,yes,no,1
44,54,yes,no,1
47,151,yes,no,1
34,61,no,yes,1
59,30,yes,no,1
45,523,yes,no,2
29,31,yes,no,1
46,79,no,no,1
56,-34,yes,yes,2
36,448,yes,no,1
59,81,yes,no,1
44,144,yes,no,2
41,351,yes,no,1
33,-67,yes,no,1
59,262,no,no,1
57,0,no,no,1
56,56,yes,no,1
51,26,yes,no,1
34,3,yes,no,3
43,41,yes,yes,2
52,7,no,yes,1
33,105,yes,no,2
29,818,yes,yes,1
34,-16,yes,yes,1
31,0,yes,no,1
55,2476,yes,no,1
55,1185,no,no,1
32,217,yes,no,1
38,1685,yes,no,1
55,802,yes,yes,2
28,0,yes,no,2
23,94,yes,no,1
32,0,yes,no,1
43,0,no,no,1
32,517,yes,no,1
46,265,yes,no,1
53,947,yes,no,1
34,3,yes,no,1
57,42,no,no,1
37,37,yes,no,1
59,57,yes,no,1
33,22,yes,no,1
56,8,yes,no,2
48,293,yes,no,1
43,3,yes,no,2
54,348,yes,no,2
51,-19,yes,no,2
26,0,yes,no,2
40,-4,yes,no,1
39,18,yes,no,1
50,139,no,no,2
41,0,yes,no,2
51,1883,yes,no,1
60,216,yes,no,1
52,782,yes,no,3
48,904,yes,no,2
48,1705,yes,no,1
39,47,yes,no,1
47,176,yes,no,2
40,1225,yes,no,5
